nombre,cantidad,unidad_medida,stock_minimo
"TYROLIT DISCO SENSITIVO 350X3 , 2X25 ,4",1000,unidad,1
LAD CERAMICO 12X18X33,1000,unidad,1
DIPROEL DILUY ACRILICO X 200L,1000,unidad,1
TETON REPARACION DE FUNDICION SALTO 8-022,1000,unidad,1
ARANDELA PERNO BAL SALTO AV19,1000,unidad,1
"PERNO TENSOR 7/8 X 7"" ( 180 MM) 3966",1000,unidad,1
TUERCA AUTOF 7/8 SAE 2996,1000,unidad,1
BUL NC-1010- 1/4X20X3/4ZCJ1800,1000,unidad,1
BUL NC-1010- 1/4X20X1 ZCJ1500,1000,unidad,1
BUL NC-1010-5/16X18X 3/ 4ZCJ1200,1000,unidad,1
"BUL NC-1010-5/16X18X1,1/2ZC660",1000,unidad,1
LIJA AL AGUA AA240,1000,unidad,1
GAR 45K YPF GAS,1000,unidad,1
BULON 7/8 X 140 MM ALT NAC,1000,unidad,1
BULON 7/8 X 160 MM ALT NAC,1000,unidad,1
BULON 7/8 X 190 MM ALT NAC,1000,unidad,1
TUE-78 TUERCA 7/8 ALT NAC,1000,unidad,1
GLASURIT CAT RAP 929-91 X 2.5,1000,unidad,1
"VACUOMETRO 76 CM 4"" ROSCA DE 1/2 INF",1000,unidad,1
CODO 90 JIC X NPT 7/8 X 1/2,1000,unidad,1
YUMA 732/RR 732/RT 732/TT,1000,unidad,1
ADHESIVO DIGOCOL 250 CC.,1000,unidad,1
ADHESIVO CIANO CB1-CM1-CM2-CA3 20GS,1000,unidad,1
CORREA EVER WEAR B-058,1000,unidad,1
HESKINS 25MM X 6MT NEGRO ANTIDESLIZANTE,1000,unidad,1
AFLOJA TODO DIAGOCOL X440,1000,unidad,1
CORREA EVER WEAR B-076,1000,unidad,1
CORREA EVER WEAR B-054,1000,unidad,1
CORREA EVER WEAR B-067,1000,unidad,1
RVM2000- CAVEZAL SOPLADOR RVM2000 AH C/PATAS E/IZQ G/ANT,1000,unidad,1
ALQUILER DE TUBO (21%),1000,unidad,1
CO2 INDUSTRIAL TUBO,1000,unidad,1
OXIGENO INDUSTRIAL TUBO,1000,unidad,1
ARGON TUBO,1000,unidad,1
"BOMBA D.M.C. EN H F CON ENGRANAJES CEMENTADOS 3"" EJE LIBRE MARCA PATRACAS",1000,unidad,1
"MCH-C-MH MANOTA DE CHAPA M.H. CENTRAL ARMADA (C/BALANCIN, PERNO Y BUJE) (ALTURA 210MM)ALT NAC",1000,unidad,1
MACH-D-TT-210-MH MANOTA DE CHAPA M.H. DELANTERA TREN TRASERO (ALTURA 210MM)ALT NAC,1000,unidad,1
MANCH-T-TT-210-MH MANOTA DE CHAPA TRASERA TREN TRASERO (ALTURA 210MM)ALT NAC,1000,unidad,1
BT-18279 BUJE PARA TENSOR MONTENEGRO (7/8 X 23 X 78)ALT NAC,1000,unidad,1
20400 PERNO 7/8 X 150 ALT NAC,1000,unidad,1
TU-78 TUERCA 7/8 ALT NAC,1000,unidad,1
CA. EST. RECT. 50X30X2,1000,unidad,1
BULON C/REDONDA C/C SIN TUERCA 8X125,1000,unidad,1
BULON C/REDONDA C/C SIN TUERCA 6X90,1000,unidad,1
VIRUTA FINA X 0.330,1000,unidad,1
VIRUTA GRUESA X 0.330,1000,unidad,1
"[MN22100RF0076V] 220100 R 1/2""NPT -76CM/HG VACUOMETRO MARCA CENI -SERIE22-CAJA:ACERO INOXIDABLE 0100MM-INTERNOS:BRONCE- SALIDA: INTERIOR 1/2""NPT- RANGO -76CM/HG-CLASE 1,6% - CON GLISERINA",1000,unidad,1
"[MN22100F25000]220100 R 1/2""NPT 2.5 BAR/PSI MANOMETRO MARCA CENI-SERIE 22 CAJA: ACERO INOXIDABLE 0100MM - INTERNOS:BRONCE- SALIDA INFERIOR 1/2""NPT RANGO 0-2.5 BAR/PSI CLASE 1,6% CON GLISERINA",1000,unidad,1
"POLEA H F 3 CANALES ""A"" 0400 MM",1000,unidad,1
"DELIMITADOR CON RETRORREFLECTOR INCORPORADO COLOR AMBAR CON CONECTOR Y TRABAS PARA ENCASTRE, FUNCION: POSICION Y GIRO LATEREAL",1000,unidad,1
"DELIMITADOR CON RETRO REFLECTOR INCORPORADO COLOR CRISTAL CON SALIDA DE CABLES ENVAINADO ,FUNCION:POSICION DELANTERA",1000,unidad,1
DELIMITADOR CON RETRO REFLECTOR INCORPORADO COLOR ROJO CON SALIDA DE CABLES ENVAINADO FUNCION:POSICION LATERAL O TRASERA,1000,unidad,1
