nombre,cantidad,unidad_medida,stock_minimo
"FILTRO ""Y"" BCE/INOX BSP 3/4"".",1000,unidad,1
ESPARRAGOS 5/8 X420 C/TUERCA,1000,unidad,1
MANGUERA P.V.C. CRISTAL 25 X 31,1000,unidad,1
ALBAMIX 4570111 POLIUR BLANCO A X4L,1000,unidad,1
ALBAMIX 4570100 ESM PU ACRI AZUL WEBER A X4L,1000,unidad,1
ALBAMIX 4570111 ESM PU GRIS CHASIS A X4L,1000,unidad,1
ALBAMIX(5353609) 4585007 FDO EPO ANTIC W 4L,1000,unidad,1
ALBAMIX (5188812) 4590013 CATALIZADOR P/POLIUR X1L,1000,unidad,1
ALBAMIX(5353672) 4590020 CATALIZADOR P/EPOXI X800CC,1000,unidad,1
CAMISA OMBU BEIGE TALLE ROPA 42 AGREGADO 15/4,1000,unidad,1
PANTALON OMBU BEIGE TALLE ROPA 50 AGREGADO 15/4,1000,unidad,1
PANTALON OMBU BEIGE TALLE ROPA 56 AGREGADO 15/4,1000,unidad,1
BOTIN OMBU 40 MODELO CALZADOOZONO AGREGADO 15/4,1000,unidad,1
BOTIN OMBU 41 MODELO CALZADOOZONO AGREGADO 15/4,1000,unidad,1
DESCUENTO 5%,1000,unidad,1
CASQUETE TORIESFERICO ∅ 2000 ESP 6.3 SAE 1010,1000,unidad,1
"MEDIO NIPLE CON COSTURA DIN 2999 (DIN 2982) 304L 1"" X 40 MM",1000,unidad,1
"MEDIO NIPLE CON COSTURA DIN 2999 (DIN 2982) 304L 1"" X 30 MM",1000,unidad,1
MANDRIL 16 MM CON CONO J33,1000,unidad,1
ESPARRAGO 10X 90 P1.50,1000,unidad,1
ARANDELA GROWER MIL 10,1000,unidad,1
TUERCA METRICA 10 P 1.50 UNIDAD,1000,unidad,1
MOSQUETON GALVANIZADO 7X70,1000,unidad,1
"C.R.L 90° SCH 40 21/2""",1000,unidad,1
PIEDRA PARTIDA C/BOLSON 1TN,1000,unidad,1
ER 316 LSI MIG DE 0.90 MM KG MARCA RMB COL NB002544T81171,1000,unidad,1
MALACATE DOBLE REDUCCION,1000,unidad,1
CINTA REFORZADA,1000,unidad,1
MANOTA TRAS. MONT. CHAPA T.T. M160 1057,1000,unidad,1
MANOTA DEL. TREN TRAS. CHAPA MONT. M160 1059,1000,unidad,1
BUJE BAL. POLIPROPILENO CORTO MONT 85 MM,1000,unidad,1
PERNO BAL. 150MM CON TUERCA ALTA MONT.,1000,unidad,1
ARANDELA PERNO BAL. MONT. AV11,1000,unidad,1
BULON DE BALANCIN 5/8 G5 USS,1000,unidad,1
TUERCA DE BULON DE BALANCIN PULIDO 5/8 USS,1000,unidad,1
"PERNO TENSOR 7/8 X 6"" (152 MM. ) 3964",1000,unidad,1
TUERCA AUTOF. 7/8 SAE . 2996,1000,unidad,1
BUJE TENSOR 7/8 X 47 XS 78 MM AST-PRA 2061 302127,1000,unidad,1
B/UNION DOBLE 8 MM VE-4610,1000,unidad,1
B/VIROLA DE 8 MM UA08 B-60 VE-711,1000,unidad,1
B/TUERCA DE AJUSTE 8 MM VE-410,1000,unidad,1
"VALVULA DE ALIVIO 2 1/2"" ASPIRACION # 2034008",1000,unidad,1
"VALVULA DE ALIVIO 2"" PRESION # 2033008",1000,unidad,1
TUERCA AJUSTE 8 (X10),1000,unidad,1
POR CERTIFICACION DE CISTERNA - AMENDOLIA,1000,unidad,1
TAPA CUBRERROTOR CROMADO 3/8/,1000,unidad,1
